Date,Gold,SP500,US 10Y,UK 10Y,USDJPY,GBPUSD,NIKKEI
12/31/1970,35.17,91.11,6.5,8.93,357.72,2.4174,1987.14
1/31/1971,37.88,93.49,6.09,8.8,357.72,2.4174,2100.9
2/28/1971,38.74,97.11,6.14,8.59,357.56,2.416,2232.42
3/31/1971,38.87,99.6,5.53,8.34,357.42,2.4168,2403.3
4/30/1971,39.01,103,6.08,8.21,357.4,2.4193,2468.18
5/31/1971,40.52,101.6,6.08,8.09,357.4,2.4193,2456.33
6/30/1971,40.1,99.72,6.7,8.14,357.4,2.4196,2637.35
7/31/1971,40.95,99,6.85,7.71,357.39,2.4184,2661.59
8/31/1971,42.71,97.24,6.28,7.69,339.85,2.4535,2297.06
9/30/1971,42.03,99.4,6,7.47,335.35,2.4847,2428.25
10/31/1971,42.5,97.29,5.87,7.24,329.5,2.4914,2278.46
11/30/1971,42.86,92.78,5.93,7.05,327.44,2.4937,2442.71
12/31/1971,43.48,99.17,5.89,7.09,315.01,2.552,2713.74
1/31/1972,45.75,103.3,6.09,7.03,310.56,2.5937,2856.5
2/29/1972,48.26,105.2,6.04,7.05,303.4,2.6059,3021.98
3/31/1972,48.33,107.7,6.04,7.39,304.32,2.6163,3187.62
4/30/1972,49.03,108.8,6.14,7.44,304.88,2.611,3339.08
5/31/1972,54.62,107.7,6.05,7.85,304.69,2.613,3636.79
6/30/1972,62.09,108,6.15,8.95,300.93,2.441,3710.7
7/31/1972,65.66,107.2,6.12,8.9,301.39,2.4498,3938.4
8/31/1972,67.03,111,6.42,9.05,301.11,2.4483,4066.78
9/30/1972,65.46,109.4,6.54,9.29,301.11,2.4195,4320.63
10/31/1972,64.86,109.6,6.41,9.1,301.11,2.3405,4537.99
11/30/1972,62.91,115.1,6.28,9.09,301.11,2.3522,4868.96
12/31/1972,63.91,117.5,6.41,9.36,301.66,2.348,5207.94
1/31/1973,65.14,118.4,6.54,9.17,301.39,2.3817,5165.24
2/28/1973,74.2,114.2,6.64,9.33,265.67,2.49,5121.32
3/31/1973,84.37,112.4,6.73,9.78,265.96,2.4755,5233.79
4/30/1973,90.5,110.3,6.7,9.66,265.53,2.489,4598.47
5/31/1973,101.96,107.2,6.93,9.74,264.69,2.5661,4557.36
6/30/1973,120.12,104.8,6.94,9.88,263.16,2.581,4675.12
7/31/1973,120.17,105.8,7.43,10.43,263.44,2.499,5041.18
8/31/1973,106.76,103.8,7.25,11.22,265.39,2.458,4882.09
9/30/1973,102.97,105.6,6.9,11.48,265.6,2.4135,4617.33
10/31/1973,100.08,109.8,6.71,11.29,266.95,2.4385,4699.73
11/30/1973,94.92,102,6.69,12.08,280.11,2.343,4461.84
12/31/1973,106.72,94.78,6.9,12.64,280.27,2.3225,4306.8
1/31/1974,129.19,96.11,7,13,298.77,2.286,4449.9
2/28/1974,150.13,93.45,7.01,13.46,288.43,2.3015,4486.58
3/31/1974,168.42,97.44,7.41,13.51,276.09,2.393,4466.14
4/30/1974,172.24,92.46,7.66,13.82,279.64,2.424,4622.35
5/31/1974,163.27,89.67,7.52,13.33,281.93,2.396,4772.66
6/30/1974,154.1,89.79,7.64,13.81,284.25,2.3905,4602.87
7/31/1974,142.98,79.31,7.89,14.17,298.24,2.387,4492.42
8/31/1974,154.64,76.03,8.11,14.52,302.94,2.3162,4069.68
9/30/1974,151.75,68.12,7.94,14.17,298.33,2.3325,3950
10/31/1974,158.78,69.44,7.79,14.61,299.94,2.3355,3594.55
11/30/1974,181.66,71.74,7.64,15.76,300.3,2.3255,3954.21
12/31/1974,183.78,67.07,7.4,16.32,301.02,2.347,3817.22
1/31/1975,176.27,72.56,7.53,15.07,297.97,2.3825,3957.53
2/28/1975,179.6,80.1,7.46,13.33,286.45,2.43,4273.39
3/31/1975,178.16,83.78,8.01,12.24,294.03,2.406,4484.97
4/30/1975,169.84,84.72,8.31,12.42,292.23,2.351,4484.84
5/31/1975,167.39,90.1,8.04,13.11,291.55,2.316,4407.73
6/30/1975,164.24,92.4,7.96,12.99,295.68,2.1935,4532.54
7/31/1975,165.17,92.49,8.2,12.75,297.71,2.154,4333.04
8/31/1975,163,85.71,8.22,12.77,297.97,2.11,4060.57
9/30/1975,144.17,84.67,8.48,12.76,302.85,2.043,3886.39
10/31/1975,142.79,88.57,7.91,13.51,301.75,2.078,4352.05
11/30/1975,142.42,90.07,8.14,13.66,303.12,2.02,4329.77
12/31/1975,139.3,88.7,7.76,13.57,305.16,2.0235,4358.6
1/31/1976,131.05,96.86,7.8,12.64,303.67,2.0295,4656.86
2/29/1976,131.06,100.6,7.77,12.13,302.11,2.0252,4628.76
3/31/1976,132.76,101.1,7.66,12.55,299.58,1.9159,4596.48
4/30/1976,127.94,101.9,7.67,12.47,299.04,1.84,4656.96
5/31/1976,126.92,101.2,7.67,12.37,299.04,1.84,4659.46
6/30/1976,125.71,101.8,7.86,13.45,297.97,1.785,4852.13
7/31/1976,117.73,104.2,7.86,13.56,293.26,1.785,4641.83
